date	session_id	agent	route	operation	query_label	dirs_seen	maps_read	raw_matches	raw_files_read	reports_written	output_path
2026-06-13	20260613-095202-synthesis_report	codex-orchestrator	synthesis_report	audit	ralph-loop-repo-bug-audit	tests/;.bin/;.github/;system/;dist/;agent_reports/	0	0	0	1	agent_reports/00_ralph-loop-bug-audit.md
2026-06-13	20260613-101600-fast_path	codex-orchestrator	fast_path	implementation	ralph-loop-fixes	tests/;.bin/;.github/;system/;dist/	0	0	0	0	0	local fixes and regression tests
2026-06-13	20260613-102800-fast_path	codex-orchestrator	fast_path	audit	architect-code-audit	.bin/;install.sh;.github/;tests/	0	0	0	1	agent_reports/01_architect-code-audit.md
2026-06-13	20260613-104700-fast_path	codex-orchestrator	fast_path	implementation	architect-audit-fixes	.bin/;install.sh;.github/;tests/;agent_reports/	0	0	0	1	agent_reports/02_architect-fixes-validation.md
2026-06-15	20260615-094914-cleanup	codex-orchestrator	cleanup	audit	ponytail-audit	.bin/;install.sh;.spinosa/;.agents/;.claude/;.codex/;.opencode/;.hermes/;dist/;.build/	0	0	0	1	agent_reports/03_ponytail-audit.md
2026-06-17	20260617-091500-cli-tree	spinosa-searcher	cli-tree-research	search	cli-command-tree	docs/reference/;.bin/;system/;README.md	4	9	5	1	agent_reports/04_cli-command-tree-research.md
2026-06-17	20260617-183000-diagrams	synthesis_report	synthesis	diagrams-design	architecture-diagrams	system/;docs/;.agents/;.bin/	12	18	7	1	docs/diagrams.md
2026-06-21	20260621-080909-non-fast-path	codex-orchestrator	non-fast-path	audit	orchestrator-rewrite-audit	.agents/;docs/;logs/;agent_reports/	0	0	0	2	agent_reports/06_orchestrator-rewrite-audit.md
2026-06-22	20260622-XXXXXX-analysis	spinosa-analyst	analysis	analysis	keyword-classification	agent_reports/;system/;raw/;logs/	0	0	0	1	agent_reports/keyword_analysis.md
2026-06-22	20260622-120000-framework-contract	orchestrator	non-fast-path	framework_edit	framework-contract-patch	.bin/lib/;.bin/;system/;maps/;.agents/skills/orchestrator-dispatch/;logs/agency/metrics	0	0	0	6	.bin/lib/concept-graph.py;.bin/check-startup.sh;system/startup.md;system/yaml_header_template.md;maps/map_template.md;.agents/skills/orchestrator-dispatch/SKILL.md
2026-06-22	20260622-140000-granted-tools	orchestrator	non-fast-path	framework_edit	granted-tools-contract	.agents/agents/;.agents/skills/evaluator/;.agents/skills/evolver/;.agents/skills/orchestrator-dispatch/;.bin/	0	0	0	13	.agents/agents/spinosa-searcher.md;.agents/agents/spinosa-analyst.md;.agents/agents/spinosa-writer.md;.agents/agents/spinosa-verifier.md;.agents/agents/spinosa-evaluator.md;.agents/agents/spinosa-evolver.md;.agents/agents/spinosa-janitor.md;.agents/agents/spinosa-mapper.md;.agents/agents/spinosa-serendippo.md;.agents/skills/evaluator/SKILL.md;.agents/skills/evolver/SKILL.md;.agents/skills/orchestrator-dispatch/SKILL.md;.bin/check-startup.sh
2026-06-24	20260624-123614-framework-rewrite	orchestrator	non-fast-path	framework_edit	agents-md-rewrite	AGENTS.md	0	0	0	2	AGENTS.md agent_reports/archive/
2026-06-26	20260626-113623-bun-migration	spinosa-analyst	non-fast-path	analysis	bun-ts-runtime-migration	agent_reports/;system/;docs/;.bin/;.spinosa/	0	0	0	1	agent_reports/a_20260626-113623-bun-migration.md
2026-06-26	20260626-113623-bun-migration	spinosa-writer	non-fast-path	synthesis	bun-ts-runtime-migration-plan	agent_reports/;.bin/;docs/;system/;.github/;.spinosa/	0	0	0	1	agent_reports/00_bun-typescript-migration-plan.md
2026-06-26	20260626-113623-bun-migration	spinosa-verifier	non-fast-path	verify	bun-ts-runtime-migration-plan	agent_reports/;.bin/;docs/;system/;.github/;.spinosa/	0	0	0	2	agent_reports/00_bun-typescript-migration-plan.md;agent_reports/v_20260626-113623-bun-migration.md
2026-06-26	20260626-113623-bun-migration	spinosa-evaluator	non-fast-path	evaluate	bun-ts-runtime-migration-route	agent_reports/;logs/	0	0	0	1	agent_reports/e_20260626-113623-bun-migration.md
